halo_id,dir,fesc_dir,O32,R23,Ne3O2,O3Hb,N2Ha,S2_deficit,Balmer_dec,EW_Hb,EW_O3,beta_UV,xi_ion,MAB_1500,E_BV,redshift
262218,9,0.0102870735442666,0.536246855748189,0.37929136932917373,-0.6563191232295438,0.16848482253711694,-1.3836789381108332,-0.8886617109586936,3.0099573967854796,92.05624899887032,142.51222860713327,-0.6439155825775198,1.4060275367652122,-16.49489262526651,0.0476423598346742,4.64
263000,9,0.0001132445690259,1.5006704332906509,0.46313554107499755,0.20327490353079014,0.3287849536171592,-2.3141599736564586,-1.5909169096084028,3.614806939532079,59.59734437184315,130.69108824695874,-2.360425008675037,1.407597734027231,-16.08344191732697,0.2183503583955617,4.64
263001,9,0.0003231855656169,0.505583948405075,0.7453923109970759,-0.7456084398896223,0.5289248770894659,-1.1426167947166945,-0.7487748310536446,3.1702816790657633,17.24931114315798,59.526438749664955,-1.7011639711931648,1.4020610826901696,-17.286170007248543,0.0960214052712832,4.64
263103,9,3.691476907175176e-05,0.5622385181811751,0.6568260338835259,-0.6602709943252378,0.450496928301348,-1.2500098940178148,-0.8301400301514477,3.095099330872071,57.41336015185399,166.01994647913318,-2.417669906085776,1.4027514604531925,-16.41694517043848,0.0736468164486915,4.64
264706,9,0.002064614796406,1.588195448034341,0.3849126816596211,0.3530001059472667,0.25128127510814124,-2.5426510007775747,-2.154653419727701,3.0333728330465055,229.76439815809545,437.45310597392063,-1.6652871709367003,1.4085852724114538,-14.831474580855184,0.0548666289846523,4.64
266461,9,0.0,1.2330174739665196,0.4132205256299315,-0.0032783782563967634,0.26981738084710116,-2.168259493981786,-1.8062108248183364,3.17317255597677,166.62305313105887,331.057680803601,-2.2305140036953497,1.40666413569671,-15.79626353782115,0.0968711131335899,4.64
267599,9,0.0101394,0.3304689274127597,0.8769782196010567,-0.9037431875550936,0.6212791102457587,-0.8922337323930734,-0.5133973842820438,3.188856997235961,10.746462580488338,45.87354577097336,-1.712349035622702,1.3973824772922856,-18.527598714064062,0.1014677486349263,4.64
270007,9,0.0506240904511362,0.9367016709365785,0.4756898761297137,-0.30780666905033627,0.31479100670977544,-1.697690564411566,-1.1715073781916772,3.1544027233463154,110.1711496339766,240.08635962971908,-1.6120257912265967,1.4065110593921815,-16.120623836800334,0.0913402849092066,4.64
286194,9,0.0,1.5506241658258162,0.5528036053032608,0.25002572894917563,0.41924887161732727,-2.271913917477832,-1.7856370958906282,3.5226645572790845,130.81011426568236,355.4491532624315,-1.5867134771489253,1.4082343442328713,-15.517352702539991,0.1942787563603422,4.64
287201,9,2.193641510717036e-07,0.7186375287308593,0.8147013151259088,-0.6536167198901595,0.6341574989900423,-1.2971487696070625,-0.6914230210525361,3.963823595045891,7.626194953937184,33.380469043697616,-1.466437609766698,1.4017083773075885,-16.152724168099812,0.3042771393106711,4.64
